V15,day,period
0,Monday,P0
0,Monday,P1
1,Monday,P2
0,Monday,P3
0,Monday,P4
0,Monday,P5
0,Monday,P6
0,Monday,P7
0,Monday,P8
0,Monday,P9
0,Monday,P10
2,Monday,P11
4,Monday,P12
1,Monday,P13
3,Monday,P14
16,Monday,P15
7,Monday,P16
7,Monday,P17
26,Monday,P18
14,Monday,P19
14,Monday,P20
1,Monday,P21
7,Monday,P22
7,Monday,P23
14,Monday,P24
4,Monday,P25
4,Monday,P26
12,Monday,P27
5,Monday,P28
8,Monday,P29
5,Monday,P30
16,Monday,P31
6,Monday,P32
2,Monday,P33
2,Monday,P34
9,Monday,P35
9,Monday,P36
9,Monday,P37
2,Monday,P38
10,Monday,P39
8,Monday,P40
8,Monday,P41
2,Monday,P42
5,Monday,P43
4,Monday,P44
1,Monday,P45
1,Monday,P46
2,Monday,P47
2,Tuesday,P0
0,Tuesday,P1
0,Tuesday,P2
1,Tuesday,P3
0,Tuesday,P4
1,Tuesday,P5
0,Tuesday,P6
0,Tuesday,P7
0,Tuesday,P8
1,Tuesday,P9
0,Tuesday,P10
4,Tuesday,P11
0,Tuesday,P12
2,Tuesday,P13
5,Tuesday,P14
13,Tuesday,P15
5,Tuesday,P16
14,Tuesday,P17
11,Tuesday,P18
11,Tuesday,P19
9,Tuesday,P20
2,Tuesday,P21
4,Tuesday,P22
15,Tuesday,P23
5,Tuesday,P24
6,Tuesday,P25
5,Tuesday,P26
13,Tuesday,P27
10,Tuesday,P28
1,Tuesday,P29
2,Tuesday,P30
1,Tuesday,P31
20,Tuesday,P32
3,Tuesday,P33
2,Tuesday,P34
16,Tuesday,P35
2,Tuesday,P36
7,Tuesday,P37
10,Tuesday,P38
3,Tuesday,P39
10,Tuesday,P40
11,Tuesday,P41
0,Tuesday,P42
5,Tuesday,P43
5,Tuesday,P44
0,Tuesday,P45
1,Tuesday,P46
4,Tuesday,P47
4,Wednesday,P0
1,Wednesday,P1
1,Wednesday,P2
0,Wednesday,P3
0,Wednesday,P4
0,Wednesday,P5
1,Wednesday,P6
0,Wednesday,P7
0,Wednesday,P8
2,Wednesday,P9
1,Wednesday,P10
3,Wednesday,P11
1,Wednesday,P12
3,Wednesday,P13
3,Wednesday,P14
11,Wednesday,P15
2,Wednesday,P16
14,Wednesday,P17
11,Wednesday,P18
20,Wednesday,P19
14,Wednesday,P20
1,Wednesday,P21
2,Wednesday,P22
11,Wednesday,P23
11,Wednesday,P24
4,Wednesday,P25
2,Wednesday,P26
4,Wednesday,P27
25,Wednesday,P28
11,Wednesday,P29
2,Wednesday,P30
9,Wednesday,P31
8,Wednesday,P32
2,Wednesday,P33
0,Wednesday,P34
14,Wednesday,P35
4,Wednesday,P36
9,Wednesday,P37
3,Wednesday,P38
11,Wednesday,P39
9,Wednesday,P40
6,Wednesday,P41
4,Wednesday,P42
4,Wednesday,P43
1,Wednesday,P44
1,Wednesday,P45
0,Wednesday,P46
6,Wednesday,P47
5,Thursday,P0
1,Thursday,P1
0,Thursday,P2
1,Thursday,P3
0,Thursday,P4
0,Thursday,P5
0,Thursday,P6
0,Thursday,P7
0,Thursday,P8
1,Thursday,P9
2,Thursday,P10
0,Thursday,P11
2,Thursday,P12
4,Thursday,P13
1,Thursday,P14
11,Thursday,P15
6,Thursday,P16
21,Thursday,P17
4,Thursday,P18
9,Thursday,P19
21,Thursday,P20
2,Thursday,P21
1,Thursday,P22
24,Thursday,P23
5,Thursday,P24
2,Thursday,P25
6,Thursday,P26
10,Thursday,P27
14,Thursday,P28
5,Thursday,P29
1,Thursday,P30
16,Thursday,P31
5,Thursday,P32
7,Thursday,P33
0,Thursday,P34
3,Thursday,P35
14,Thursday,P36
6,Thursday,P37
4,Thursday,P38
6,Thursday,P39
11,Thursday,P40
2,Thursday,P41
8,Thursday,P42
3,Thursday,P43
4,Thursday,P44
2,Thursday,P45
1,Thursday,P46
1,Thursday,P47
7,Friday,P0
0,Friday,P1
3,Friday,P2
1,Friday,P3
1,Friday,P4
0,Friday,P5
0,Friday,P6
1,Friday,P7
0,Friday,P8
2,Friday,P9
0,Friday,P10
0,Friday,P11
1,Friday,P12
4,Friday,P13
2,Friday,P14
10,Friday,P15
6,Friday,P16
8,Friday,P17
8,Friday,P18
12,Friday,P19
19,Friday,P20
1,Friday,P21
2,Friday,P22
3,Friday,P23
3,Friday,P24
3,Friday,P25
3,Friday,P26
